"","subject","session","trial","age","SD30","SD32","SD31","timetotal","array","item","category","supercategory","VOT","correct","AR","error"
"202",1,2,42,50,"3","2","8",28.2166666666667,17,"ball","Filler","Filler","539","1","NA","NA"
"203",1,2,43,50,"3","2","8",28.2166666666667,17,"briefkasten","Filler","Filler","739","1","NA","NA"
"204",1,2,44,50,"3","2","8",28.2166666666667,17,"hocker","Sitzen","Möbel","512","1","NA","NA"
"205",1,2,45,50,"3","2","8",28.2166666666667,17,"ente","Vögel","Tiere","1225","1","NA","NA"
"206",1,2,46,50,"3","2","8",28.2166666666667,17,"lippenstift","Filler","Filler","512","1","NA","NA"
"207",1,2,47,50,"3","2","8",28.2166666666667,17,"burg","Gebäude","Misc II","2081","1","NA","NA"
"208",1,2,48,50,"3","2","8",28.2166666666667,17,"strauss","Vögel","Tiere","437","1","NA","NA"
"209",1,2,49,50,"3","2","8",28.2166666666667,17,"parfum","Filler","Filler","519","1","NA","NA"
"210",1,2,50,50,"3","2","8",28.2166666666667,17,"sessel","Sitzen","Möbel","488","1","NA","NA"
"211",1,2,51,50,"3","2","8",28.2166666666667,17,"schloss","Gebäude","Misc II","767","1","NA","NA"
"212",1,2,52,50,"3","2","8",28.2166666666667,17,"taube","Vögel","Tiere","527","1","NA","NA"
"213",1,2,53,50,"3","2","8",28.2166666666667,17,"stuhl","Sitzen","Möbel","541","1","NA","NA"
"214",1,2,54,50,"3","2","8",28.2166666666667,17,"hochhaus","Gebäude","Misc II","549","1","NA","NA"
"215",1,2,55,50,"3","2","8",28.2166666666667,17,"mikrofon","Filler","Filler","581","1","NA","NA"
"216",1,2,56,50,"3","2","8",28.2166666666667,17,"bank","Sitzen","Möbel","597","1","NA","NA"
"217",1,2,57,50,"3","2","8",28.2166666666667,17,"eule","Vögel","Tiere","885","1","NA","NA"
"218",1,2,58,50,"3","2","8",28.2166666666667,17,"tempel","Gebäude","Misc II","441","1","NA","NA"
"219",1,2,59,50,"3","2","8",28.2166666666667,17,"couch","Sitzen","Möbel","886","1","NA","NA"
